[2026-03-13 12:21:05,928: INFO: main:Welcome to our custom log]
[2026-03-13 17:36:56,289: INFO: common:yaml file: config/config.yaml loaded successfully]
[2026-03-13 17:36:56,312: INFO: common:yaml file: params.yaml loaded successfully]
[2026-03-13 17:36:56,322: INFO: common:created directory at: artifacts]
[2026-03-13 17:36:56,328: INFO: common:created directory at: artifacts/data_ingestion]
[2026-03-13 17:39:43,542: INFO: common:yaml file: config/config.yaml loaded successfully]
[2026-03-13 17:39:43,555: INFO: common:yaml file: params.yaml loaded successfully]
[2026-03-13 17:39:43,559: INFO: common:created directory at: artifacts]
[2026-03-13 17:39:43,561: INFO: common:created directory at: artifacts/data_ingestion]
[2026-03-13 17:46:12,948: INFO: common:yaml file: config/config.yaml loaded successfully]
[2026-03-13 17:46:12,952: INFO: common:yaml file: params.yaml loaded successfully]
[2026-03-13 17:46:12,954: INFO: common:created directory at: artifacts]
[2026-03-13 17:46:12,957: INFO: common:created directory at: artifacts/data_ingestion]
[2026-03-13 17:46:12,961: INFO: 3341818334:Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-03-13 17:46:46,004: INFO: 3341818334:Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
